,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
219,WHEN YOU TRAP A TIGER,Tae Keller,9781524715731,4/29/2023,5/3/2023 22:51,Yearling,0
220,IF HE HAD BEEN WITH ME,Laura Nowlin,9781728205489,4/29/2023,5/3/2023 22:51,Sourcebooks Fire,0
221,GIRL IN PIECES,Kathleen Glasgow,9781101934746,4/29/2023,5/3/2023 22:51,Ember,0
222,BETTER THAN THE MOVIES,Lynn Painter,9781534467637,4/29/2023,5/3/2023 22:51,Simon & Schuster,0
223,THE WAY I USED TO BE,Amber Smith,9781481449366,4/29/2023,5/3/2023 22:51,Margaret K. McElderry,0
224,ONE OF US IS LYING,Karen M. McManus,9781524714758,4/29/2023,5/3/2023 22:51,Delacorte,0
225,THE ISLAND,Natasha Preston,9780593481493,4/29/2023,5/3/2023 22:51,Delacorte,0
226,THEY BOTH DIE AT THE END,Adam Silvera,9780062457806,4/29/2023,5/3/2023 22:51,Quill Tree,0
227,SIX OF CROWS,Leigh Bardugo,9781250076960,4/29/2023,5/3/2023 22:51,Square Fish,0
228,THE BOOK THIEF,Markus Zusak,9780375842207,4/29/2023,5/3/2023 22:51,Knopf,0
229,ONCE UPON A BROKEN HEART,Stephanie Garber,9781250898326,4/29/2023,5/3/2023 22:51,Flatiron,0
