book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
THE ANTHROPOCENE REVIEWED,John Green,9780525555247,Dutton,6,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113 min,"Adventure, Family, Fantasy",PG,6.3,"$104,386,950.00 ",A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy/Peter Sekirin,4.07,684837935,9780550000000,eng,9/27/2005,Bantam
GRIT,Angela Duckworth,9781501111112,Scribner,145,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",PG-13,7.8,"$303,003,568.00 ",A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton,4.06,345478169,9780680000000,eng,10/14/1997,Scribner
ATOMIC HABITS,James Clear,9780735211292,Avery,179,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",PG-13,8.8,"$315,544,750.00 ",A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith,3.58,1877058335,9780350000000,en-US,3/15/2005,Ballantine Books
THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886,Penguin Press,15,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",PG-13,9,"$377,845,905.00 ",A Caribbean Mystery,Agatha Christie/Rosalind Ayres,3.8,1572705493,9781880000000,eng,6/1/2005,Rosenberg Publishing
Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,9780063087781,Dey Street,1,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",PG-13,8.8,"$342,551,365.00 ",A Caribbean Mystery (Miss Marple  #10),Agatha Christie,3.8,451199928,9781570000000,eng,10/9/2006,Audiogo
SOUL BOOM,Rainn Wilson,9780306828270,Hachette Go,1,The Lovely Bones,2009,135 min,"Drama, Fantasy, Thriller",PG-13,6.6,"$43,818,839.00 ",A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,4.45,375410465,9780450000000,eng,3/1/2000,Signet
THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944,Grand Central,4,The Pelican Brief,1993,141 min,"Crime, Drama, Mystery",PG-13,6.6,"$100,768,056.00 ",A Case of Need,Jeffery Hudson/Michael Crichton,3.72,451210638,9780380000000,eng,1/4/2000,Random House Audio
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,9780062976581,HarperOne,178,The Shawshank Redemption,1994,142 min,Drama,R,9.3,"$28,341,469.00 ",A Cat  a Man  and Two Women,Jun'ichirō Tanizaki/Paul McCarthy,3.8,4770016050,9780450000000,eng,8/5/2003,Signet
LOVE AND LEMONS SIMPLE FEEL GOOD FOOD,Jeanine Donofrio with Phoebe Moore,9780593419106,Avery,1,Stand by Me,1986,89 min,"Adventure, Drama",R,8.1,"$52,287,414.00 ",A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones,3.87,076534551X,9784770000000,eng,4/1/1992,Kodansha
TASTING HISTORY,Max Miller with Ann Volkwein,9781982186180,Simon Element,2,The Mist,2007,126 min,"Horror, Sci-Fi, Thriller",R,7.1,"$25,594,957.00 ",A Certain Justice (Abe Glitsky  #1),John Lescroart,4.01,451217764,9780770000000,eng,3/1/2005,Tor Fantasy
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,9780062457714,Harper,294,Misery,1990,107 min,"Drama, Thriller",R,7.8,"$61,276,872.00 ",A Certain Justice (Adam Dalgliesh  #10),P.D. James,3.93,770429912,9780450000000,eng,2/7/2006,Signet
WONDER,R.J. Palacio,9780375869020,Knopf,394,The Time Traveler's Wife,2009,107 min,"Comedy, Drama, Fantasy",PG-13,7.1,"$63,414,846.00 ",A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9780770000000,eng,3/28/2006,Seal Books
REFUGEE,Alan Gratz,9780545880831,Scholastic,218,Wuthering Heights,1992,105 min,"Drama, History, Romance",PG,6.6, N/A ,A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,4.3,689823827,9781600000000,eng,11/1/2005,Changeling Press
NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138,Balzer + Bray,4,We Need to Talk About Kevin,2011,112 min,"Drama, Mystery, Thriller",R,7.5,"$1,738,692.00 ",A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3.87,345448146,9780690000000,eng,2/1/1999,Simon & Schuster Books for Young Readers
ODDER,Katherine Applegate.,9781250147424,Feiwel & Friends,32,Appaloosa,2008,115 min,"Action, Crime, Drama",R,6.7,"$20,207,003.00 ",A Christmas Carol,Charles Dickens/P.J. Lynch,4.05,763631205,9780350000000,eng,3/26/2002,Ballantine Books
BIG TREE,Brian Selznick,9781338180633,Scholastic,4,Atonement,2007,123 min,"Drama, Mystery, Romance",R,7.8,"$50,927,067.00 ",A Christmas Carol,Charles Dickens,4.05,1580495796,9780760000000,en-CA,9/12/2006,Candlewick Press
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,Sourcebooks Jabberwocky,151,Awakenings,1990,121 min,"Biography, Drama",PG-13,7.8,"$52,096,475.00 ",A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,4.36,159679237X,9781580000000,eng,1/1/2012,Penguin Books
TWO DEGREES,Alan Gratz,9781338735673,Scholastic,30,Ballet Shoes,2007,85 min,"Drama, Family, Musical",PG,6.6, N/A ,A Christmas Carol and Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,3.96,192806947,9781600000000,eng,1/1/2005,Abdo Publishing Company
ONCE THERE WAS,Kiyash Monsef,9781665928502,Simon & Schuster,4,Water for Elephants,2011,120 min,"Drama, Romance",PG-13,6.9,"$58,709,717.00 ",A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,4.14,140439056,9780190000000,eng,11/1/2007,Oxford University Press  USA
FREEWATER,Amina Luqman-Dawson,9780316056618,"Little, Brown",4,The Lincoln Lawyer,2011,118 min,"Crime, Drama, Mystery",R,7.3,"$58,009,200.00 ",A Christmas Carol and The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,4.35,517229277,9780140000000,eng,10/30/2003,Penguin Classics
THE SWIFTS,Beth Lincoln.,9780593533239,Dutton,8,Jane Eyre,2011,120 min,"Drama, Romance",PG-13,7.3,"$11,242,660.00 ",A Christmas Memory,Truman Capote,4.24,375837892,9780520000000,eng,10/3/2006,Gramercy Books
BECAUSE I HAD A TEACHER,Kobi Yamada.,9781943200085,Compendium,11,Secretariat,2010,123 min,"Biography, Drama, Family",PG,7.2,"$59,713,955.00 ",A Christmas Story,Jean Shepherd,4.08,767916220,9780380000000,eng,10/10/2006,Knopf Books for Young Readers
DRAGONS LOVE TACOS,Adam Rubin.,9780803736801,Dial,396,The Social Network,2010,120 min,"Biography, Drama",PG-13,7.8,"$96,962,694.00 ",A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,62545035,9780770000000,eng,10/28/2003,Broadway Books
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,9780385376716,Random House,350,The Town,2010,125 min,"Crime, Drama, Thriller",R,7.5,"$92,186,262.00 ",A Civil Action,Jonathan Harr,3.97,679772677,9780060000000,en-CA,1/1/1984,HarperOne
THE DAY THE CRAYONS QUIT,Drew Daywalt.,9780399255373,Philomel,358,Tamara Drewe,2010,107 min,"Comedy, Drama, Romance",R,6.2,"$560,101.00 ",A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,553381695,9780680000000,eng,8/27/1996,Vintage
WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,9780316486798,"Little, Brown",4,Green Zone,2010,115 min,"Action, Drama, Thriller",R,6.8,"$35,053,660.00 ",A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,4.41,073930870X,9780550000000,eng,5/28/2002,Bantam
DOLLY PARTON'S BILLY THE KID MAKES IT BIG,Dolly Parton with Erica S. Perl.,9780593661574,Penguin Workshop,1,Shutter Island,2010,138 min,"Mystery, Thriller",R,8.2,"$128,012,934.00 ",A Clockwork Orange,Anthony Burgess/Blake Morrison,3.99,141182601,9780740000000,eng,2/17/2004,Random House Audio
I WISH YOU MORE,Amy Krouse Rosenthal.,9781452126999,Chronicle,80,The Ghost Writer,2010,128 min,"Crime, Drama, Mystery",PG-13,7.2,"$15,541,549.00 ",A Clockwork Orange,Anthony Burgess,3.99,014027409X,9780140000000,eng,2/24/2000,Penguin Classics
"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle,9780593226186,World of Eric Carle,8,The Runaways,2010,106 min,"Biography, Drama, Music",R,6.5,"$3,571,735.00 ",A Clockwork Orange (Stage Play),Anthony Burgess,3.84,413735907,9780140000000,eng,9/3/1998,Penguin Books
