title,author,weeks_on_list,publication_date,average_rating,publisher
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,,11/1/1964,3.51,Signet
Anthem,Ayn Rand,,12/1/1999,3.63,NAL
We the Living,Ayn Rand/Leonard Peikoff,,1/1/1996,3.91,Signet
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,,7/15/1986,3.88,Signet
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,,2/1/1997,3.96,NAL
Sailing for Dummies,J.J. Isler/Peter Isler,,6/1/2006,3.95,For Dummies
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,,7/25/2006,3.88,Delacorte Press
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,,9/17/2002,4.23,Random House Trade Paperbacks
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,,4/1/2004,3.62,Lyons Press
Natural Cures They Don't Want You to Know about,Kevin Trudeau,,1/1/2004,3.09,Alliance Publishing
The Natural,Bernard Malamud/Kevin Baker,,7/7/2003,3.63,Farrar Straus Giroux
Digging to America,Anne Tyler,,5/2/2006,3.55,Alfred A. Knopf
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,,1/21/2004,3.77,Bedford Books
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,,10/7/2004,3.59,Oxford University Press  USA
The Plot Against America,Philip Roth,,9/27/2005,3.77,Vintage International
Naked Pictures of Famous People,Jon   Stewart,,9/22/1999,3.59,Dey Street Books
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,,5/13/2008,4.19,Harper Perennial Modern Classics
Crónica de una muerte anunciada,Gabriel García Márquez,,10/14/2003,3.97,Vintage Espanol
Cien años de soledad,Gabriel García Márquez,,2/7/2006,4.07,Plaza y Janes
Del amor y otros demonios,Gabriel García Márquez,,2/7/2006,3.98,Plaza y Janes
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,,10/12/2004,3.99,Vintage
Memoria de mis putas tristes,Gabriel García Márquez,,10/19/2004,3.6,Vintage Espanol
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,,9/2/2004,4.07,Vintage Books USA
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,,5/15/2005,4.29,Wisdom Publications
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,,4/1/2006,3.75,Rough Guides
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,,9/1/2004,3.83,Lonely Planet
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,,5/1/2006,4.03,Geoplaneta
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,,9/1/2001,0,Lonely Planet
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,,4/4/2006,3.88,Mariner Books
Cryptonomicon,Neal Stephenson,,11/1/2002,4.25,Avon
