,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
135,SPELL BOUND,F.T. Lukens,9781665940184,2023-04-29,2023-05-03 22:05:29,Margaret K. McElderry,4
136,THE STOLEN HEIR,Holly Black,9780316592703,2023-04-29,2023-05-03 22:05:29,"Little, Brown",17
137,SHE IS A HAUNTING,Trang Thanh Tran,9781547610815,2023-04-29,2023-05-03 22:05:29,Bloomsbury,9
138,THE LITTLE MERMAID: AGAINST THE TIDE,J. Elle,9781368077224,2023-04-29,2023-05-03 22:05:29,Disney,3
139,LOVELESS,Alice Oseman,9781338751932,2023-04-29,2023-05-03 22:05:29,Scholastic,34
140,THE LAST THING HE TOLD ME,Laura Dave,9781797123196,2023-04-29,2023-05-03 22:51:22,Simon & Schuster Audio,0
141,LESSONS IN CHEMISTRY,Bonnie Garmus,9780593507537,2023-04-29,2023-05-03 22:51:22,Random House Audio,0
142,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204188,2023-04-29,2023-05-03 22:51:22,HarperAudio,0
143,HELLO BEAUTIFUL,Ann Napolitano,9780593664049,2023-04-29,2023-05-03 22:51:22,Random House Audio,0
144,SIMPLY LIES,David Baldacci,9781549152016,2023-04-29,2023-05-03 22:51:22,Hachette Audio,0
145,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781508236610,2023-04-29,2023-05-03 22:51:22,Simon & Schuster Audio,0
146,HAPPY PLACE,Emily Henry,9780593675113,2023-04-29,2023-05-03 22:51:22,Penguin Audio,0
147,DEMON COPPERHEAD,Barbara Kingsolver,9780063252004,2023-04-29,2023-05-03 22:51:22,HarperAudio,0
148,IT ENDS WITH US,Colleen Hoover,9781508212690,2023-04-29,2023-05-03 22:51:22,Simon & Schuster Audio,0
149,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781984845306,2023-04-29,2023-05-03 22:51:22,Random House Audio,0
150,VERITY,Colleen Hoover,DBKADBL052088,2023-04-29,2023-05-03 22:51:22,Audible Studios,0
151,I WILL FIND YOU,Harlan Coben,9781543661385,2023-04-29,2023-05-03 22:51:22,Brilliance Audio,0
152,IT STARTS WITH US,Colleen Hoover,9781797145082,2023-04-29,2023-05-03 22:51:22,Simon & Schuster Audio,0
153,DARK ANGEL,John Sandford,9780593672280,2023-04-29,2023-05-03 22:51:22,Penguin Audio,0
154,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,9780593614105,2023-04-29,2023-05-03 22:51:23,Random House Audio,0
155,OUTLIVE,Peter Attia with Bill Gifford,9780593664445,2023-04-29,2023-05-03 22:51:08,Random House Audio,0
156,GREENLIGHTS,Matthew McConaughey,9780593294185,2023-04-29,2023-05-03 22:51:08,Random House Audio,0
157,SPARE,Prince Harry,9780593675090,2023-04-29,2023-05-03 22:51:08,Random House Audio,0
158,I'M GLAD MY MOM DIED,Jennette McCurdy,9781797147949,2023-04-29,2023-05-03 22:51:08,Simon & Schuster Audio,0
159,THE LIGHT WE CARRY,Michelle Obama,9780593677889,2023-04-29,2023-05-03 22:51:08,Random House Audio,0
160,THE WAGER,David Grann,9780307747495,2023-04-29,2023-05-03 22:51:09,Random House Audio,0
161,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780593412701,2023-04-29,2023-05-03 22:51:09,Penguin Audio,0
162,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270459,2023-04-29,2023-05-03 22:51:09,HarperAudio,0
163,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781427264305,2023-04-29,2023-05-03 22:51:09,Macmillan Audio,0
164,FINDING ME,Viola Davis,9780063037342,2023-04-29,2023-05-03 22:51:09,HarperAudio,0
165,ALL MY KNOTTED-UP LIFE,Beth Moore,9781496480514,2023-04-29,2023-05-03 22:51:09,Tyndale Audio,0
166,KILLERS OF THE FLOWER MOON,David Grann,9780307747457,2023-04-29,2023-05-03 22:51:09,Random House Audio,0
167,PARIS,Paris Hilton,9780063224643,2023-04-29,2023-05-03 22:51:09,HarperAudio,0
168,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250260635,2023-04-29,2023-05-03 22:51:09,Macmillan Audio,0
169,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,9781250867070,2023-04-29,2023-05-03 22:51:09,Macmillan Audio,0
170,ATOMIC HABITS,James Clear,9780735211292,2023-04-29,2023-05-03 22:51:14,Avery,0
171,THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944,2023-04-29,2023-05-03 22:51:14,Grand Central,0
172,THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886,2023-04-29,2023-05-03 22:51:14,Penguin Press,0
173,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,2023-04-29,2023-05-03 22:51:14,Crown,0
174,DARE TO LEAD,Brené Brown,9780399592522,2023-04-29,2023-05-03 22:51:14,Random House,0
175,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi,9781523505746,2023-04-29,2023-05-03 22:51:14,Workman,0
176,"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557,2023-04-29,2023-05-03 22:51:14,"Farrar, Straus & Giroux",0
177,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781250183866,2023-04-29,2023-05-03 22:51:14,St. Martin's,0
178,PARIS,Paris Hilton,9780063224629,2023-04-29,2023-05-03 22:51:14,Dey Street,0
179,GRIT,Angela Duckworth,9781501111112,2023-04-29,2023-05-03 22:51:14,Scribner,0
180,TWENTY THOUSAND FLEAS UNDER THE SEA,Dav Pilkey,9781338801910,2023-04-29,2023-05-03 22:51:11,Scholastic,0
181,COLLABORATIONS,Dav Pilkey,9781338846621,2023-04-29,2023-05-03 22:51:11,Scholastic,0
182,MOTHERING HEIGHTS,Dav Pilkey,9781338680454,2023-04-29,2023-05-03 22:51:11,Scholastic,0
183,MOON RISING,Tui T. Sutherland.,9781338730890,2023-04-29,2023-05-03 22:51:11,Scholastic,0
184,GRIME AND PUNISHMENT,Dav Pilkey,9781338535624,2023-04-29,2023-05-03 22:51:11,Scholastic,0
185,SCHOOL TRIP,Jerry Craft,9780062885531,2023-04-29,2023-05-03 22:51:11,Quill Tree,0
186,"ONE PIECE, VOL. 102",Eiichiro Oda,9781974736553,2023-04-29,2023-05-03 22:51:11,VIZ Media,0
187,"KAIJU NO. 8, VOL. 6",Naoya Matsumoto,9781974736331,2023-04-29,2023-05-03 22:51:12,VIZ Media,0
188,FOR WHOM THE BALL ROLLS,Dav Pilkey,9781338236590,2023-04-29,2023-05-03 22:51:12,Scholastic,0
189,MARY ANNE'S BAD LUCK MYSTERY,Ann M. Martin.,9781338616101,2023-04-29,2023-05-03 22:51:12,Scholastic,0
190,TEENAGE MUTANT NINJA TURTLES: THE LAST RONIN,"Kevin Eastman, Peter Laird and Tom Waltz",9781684058419,2023-04-29,2023-05-03 22:51:12,IDW,0
191,FETCH-22,Dav Pilkey,9781338323214,2023-04-29,2023-05-03 22:51:12,Scholastic,0
192,"SPY X FAMILY, VOL. 9",Tatsuya Endo,9781974736287,2023-04-29,2023-05-03 22:51:12,VIZ Media,0
193,LORD OF THE FLEAS,Dav Pilkey,9781338741070,2023-04-29,2023-05-03 22:51:12,Scholastic,0
194,SPY CAMP,Stuart Gibbs.,9781534499379,2023-04-29,2023-05-03 22:51:12,Simon & Schuster,0
